City,tempmax,sealevelpressure
Bengaluru,27,1010
Bengaluru,27,1009.2
Bengaluru,28,1010.6
Bengaluru,28.8,1011.3
Bengaluru,28,1012.6
Bengaluru,28.9,1014.1
Bengaluru,29.9,1014.3
Bengaluru,30,1013.6
Bengaluru,28,1012.6
Bengaluru,29.9,1012.1
Bengaluru,29.9,1012.8
Bengaluru,30,1011.9
Bengaluru,27.9,1011.4
Bengaluru,25.9,1012.3
Bengaluru,28,1012.1
Bengaluru,31.6,1012
Bengaluru,32,1011.4
Pune,36,1005.9
Pune,36.7,1006
Pune,37.3,1006.4
Pune,37.3,1008.1
Pune,38.6,1008.2
Pune,37.8,1008.2
Pune,38.8,1008.3
Pune,33.6,1007.5
Pune,36.9,1006.5
Pune,36,1008.2
Pune,35.8,1009.3
Pune,37.1,1010.7
Pune,34.3,1010.3
Pune,35,1010.1
Pune,34.1,1009.7
Pune,35.6,1008.7
Pune,36.5,1009
Pune,37.3,1009.8
Pune,36,1008.4
Pune,36.3,1007.3
Pune,35.8,1009
Pune,36.8,1008.8
Pune,36.3,1009.2
Pune,37.6,1008.2
Pune,37.8,1007.8
Pune,38,1006.8
Pune,37.8,1008.7
Pune,36.6,1009
Pune,38.1,1008.6
Pune,36.8,1007.8
Pune,34.3,1007.2
Pune,36,1008.1
Pune,35.5,1007.9
Pune,36.8,1006.4
Pune,37.6,1006.1
Pune,35.1,1007.7
Pune,36.3,1007.6
Pune,37.8,1006.9
Pune,36.8,1005.8
Pune,37.3,1005.5
Pune,35.3,1005.9
Pune,36.1,1004.6
Pune,34.3,1004
Pune,37,1002.2
Pune,36.6,1000
Pune,30.1,999
Pune,27.1,1000.2
Pune,30.6,1003.3
Pune,30.3,1004.7
Pune,32.6,1006.2
Pune,35,1006.7
Pune,33.1,1006
Pune,33.8,1007.1
Pune,34,1007.3
Pune,34,1006.2
Pune,33.8,1004.9
Pune,32.8,1005.2
Pune,33.8,1005.7
Pune,34.1,1006.8
Pune,32.6,1006.7
Pune,32.1,1005.1
Pune,32.3,1005.4
Pune,34.8,1006.3
Pune,33.3,1006.7
Pune,31.3,1008
Pune,29.6,1007.3
Pune,30.3,1007.2
Pune,29.3,1007.7
Pune,30,1006.6
Pune,24.3,1006.3
Pune,28.3,1005.2
Pune,29,1004.8
Pune,27.6,1003.9
Pune,30.6,1003.5
Pune,31.8,1002
Pune,28.6,1001.2
Pune,27.1,1002.3
Pune,26.6,1003.4
Pune,26.1,1004.5
Pune,28.3,1006.1
Pune,28,1007.2
Pune,29.3,1007
Pune,29.8,1007.1
Pune,30.3,1006.8
Pune,26.3,1007.4
Pune,27.1,1006.5
Pune,29.6,1006
Pune,27.1,1008
Pune,30.6,1006.8
Pune,31.1,1006.1
Pune,31,1006.2
Ahmedabad,41,1004.1
Ahmedabad,42,1004.9
Ahmedabad,43,1005.9
Ahmedabad,42,1008.4
Ahmedabad,42,1008.5
Ahmedabad,43,1007.8
Ahmedabad,42,1008.5
Ahmedabad,42,1006.9
Ahmedabad,42,1006.4
Ahmedabad,43,1007.6
Ahmedabad,44,1008.5
Ahmedabad,43,1009.9
Ahmedabad,43,1009.6
Ahmedabad,42,1009
Ahmedabad,41,1008.5
Ahmedabad,41,1007.8
Ahmedabad,41,1009
Ahmedabad,42,1009.6
Ahmedabad,42,1007.1
Ahmedabad,40,1006
Ahmedabad,41,1008.1
Ahmedabad,41,1008.6
Ahmedabad,42,1007.5
Ahmedabad,39,1007.9
Ahmedabad,43,1008
Ahmedabad,44,1006.7
Ahmedabad,44,1006.8
Ahmedabad,43,1008.2
Ahmedabad,43,1008
Ahmedabad,43,1006.2
Ahmedabad,41,1006.3
Ahmedabad,42,1006.4
Ahmedabad,41.4,1006.2
Ahmedabad,42,1005.7
Ahmedabad,42,1005.8
Ahmedabad,43,1005.6
Ahmedabad,43,1006.6
Ahmedabad,44,1005.3
Ahmedabad,44,1003.7
Ahmedabad,42,1003.9
Ahmedabad,42,1004.3
Ahmedabad,42,1002.6
Ahmedabad,41,1002.4
Ahmedabad,43,1001.2
Ahmedabad,44,1001
Ahmedabad,45,1000.3
Ahmedabad,36.3,1000.6
Ahmedabad,30,995.2
Ahmedabad,34,1000.8
Ahmedabad,38,1004
Ahmedabad,37,1004.8
Ahmedabad,37,1004.5
Ahmedabad,39,1005.6
Ahmedabad,41,1006.5
Ahmedabad,42,1003.7
Ahmedabad,39,1002.1
Ahmedabad,39,1002.2
Ahmedabad,39,1002.9
Ahmedabad,38,1004.2
Ahmedabad,41,1004.2
Ahmedabad,38,1002.1
Ahmedabad,38,1002.5
Ahmedabad,39,1004
Ahmedabad,40,1004.8
Ahmedabad,38,1005.7
Ahmedabad,37.5,1004.9
Ahmedabad,38,1004.8
Ahmedabad,38.5,1004.5
Ahmedabad,39,1002.9
Ahmedabad,39,1001.2
Ahmedabad,39,1000.1
